date,country,bulls price(€/100kg),bulls(1000 heads),bulls(kg/head),cows price(€/100kg),cows(1000 heads),cows(kg/head),heifers price(€/100kg),heifers(1000 heads),heifers(kg/head),steers price(€/100kg),steers(1000 heads),steers(kg/head),young bulls price(€/100kg),young bulls(1000 heads),young bulls(kg/head),pigmeat price(€/100kg),cattle fattening nuts and cubes price(€/tonne),cattle fattening meal(€/tonne)
2017-01-01,Ireland,300.264,24.61,371.8000812677773,321.644,27.8,317.2661870503597,383.688,50.57,311.6472216729286,370.55600000000004,46.02,351.8035636679705,361.812,0.18,222.2222222222222,154.016,262.44,250.44
2017-02-01,Ireland,317.12749999999994,22.4,376.7857142857143,325.3225,29.29,310.6862410378969,384.245,47.56,311.3961312026913,371.98,47.14,348.7484089944845,361.915,2.6,142.3076923076923,159.19,264.56,248.93
2017-03-01,Ireland,328.55,17.83,382.5014021312395,331.035,29.63,309.1461356733041,390.06,49.82,312.1236451224408,378.415,54.83,345.6137151194602,368.46000000000004,3.06,140.5228758169935,164.14,265.0,249.0
2017-04-01,Ireland,338.15749999999997,15.32,385.7702349869451,342.9275,25.14,312.6491646778043,403.50500000000005,41.97,312.12771026924,391.925,46.7,346.0385438972162,382.41249999999997,0.74,148.6486486486486,164.47750000000002,265.39,249.44
2017-05-01,Ireland,333.01599999999996,21.47,375.873311597578,352.678,36.83,315.7751832745045,413.582,46.34,313.767803193785,402.46,48.01,350.1353884607373,396.36,0.18,166.6666666666667,164.99,265.67,249.75
2017-06-01,Ireland,313.76750000000004,21.58,373.0305838739574,342.3175,35.62,318.6412128017968,414.78,45.74,313.9484040227372,403.3125,51.65,352.3717328170378,399.46,0.15,200.0,166.0975,265.39,250.06
2017-07-01,Ireland,291.28000000000003,14.07,371.0021321961621,341.95199999999994,31.38,316.7622689611217,406.34400000000005,40.87,312.943479324688,395.744,57.12,353.9915966386555,392.028,0.08,250.0,168.764,265.39,250.06
2017-08-01,Ireland,277.81,13.62,381.057268722467,336.065,30.22,317.6704169424223,389.27,44.09,315.0374234520299,379.1825,73.54,360.3481098721784,376.845,0.06,166.6666666666667,162.1375,265.67,254.76
2017-09-01,Ireland,274.83000000000004,11.47,379.2502179598953,333.95,28.78,314.4544822793607,382.375,42.55,313.5135135135135,372.13,76.79,360.8542779007683,370.2475,0.12,250.0,158.11999999999998,265.39,254.47
2017-10-01,Ireland,283.926,14.25,374.0350877192982,332.404,33.64,309.1557669441141,378.7,44.78,308.6199196069674,367.1719999999999,72.79,357.3293034757521,366.614,0.13,230.7692307692308,153.606,264.32,254.76
2017-11-01,Ireland,284.31,23.38,372.1129170230967,334.96750000000003,39.24,302.2426095820591,385.115,53.14,306.5487391795258,372.465,65.65,351.2566641279512,372.0125,0.13,230.7692307692308,148.82,264.42,255.35
2017-12-01,Ireland,307.1475,25.06,365.9217877094972,343.77250000000004,27.74,301.7303532804614,400.16999999999996,45.71,305.4036315904617,388.085,44.34,347.3161930536761,383.4975,0.12,166.6666666666667,145.35750000000002,264.68,255.35
2018-01-01,Ireland,311.166,27.81,371.4491190219346,347.17,28.73,315.3498085624782,402.12600000000003,53.23,310.7270336276536,389.48799999999994,48.57,348.1572987440807,382.864,0.18,222.2222222222222,140.092,262.79,259.11
2018-02-01,Ireland,329.7,23.43,375.5868544600939,346.27,29.84,306.6353887399464,397.065,46.7,309.4218415417559,384.91,46.07,344.9099196874322,375.265,4.48,113.8392857142857,138.45749999999998,265.79,262.33
2018-03-01,Ireland,343.03000000000003,18.89,384.3303335097935,352.895,29.18,304.3180260452365,402.19,46.09,311.1303970492514,389.46,50.38,345.5736403334656,381.39,4.01,114.713216957606,138.92000000000002,266.05,262.06
2018-04-01,Ireland,347.18600000000004,16.39,388.6516168395363,358.426,31.96,300.6883604505632,408.604,46.25,310.9189189189189,396.59,51.52,342.5854037267081,391.08,0.96,125.0,139.49200000000002,267.84,264.89
2018-05-01,Ireland,343.05,21.0,380.952380952381,367.13,31.67,305.0205241553521,419.43,45.93,311.7787938166775,408.0875,50.7,346.5483234714003,403.52,0.35,142.8571428571429,140.26749999999998,275.68,271.21
2018-06-01,Ireland,324.53000000000003,23.25,375.0537634408602,358.98749999999995,35.48,310.315670800451,419.9425,42.36,312.5590179414542,407.515,46.04,349.2615117289313,404.67749999999995,0.11,181.8181818181818,140.69,277.95,271.15
2018-07-01,Ireland,284.62199999999996,19.02,375.3943217665615,328.14,38.14,302.045097011012,398.438,45.5,307.032967032967,386.69399999999996,60.21,346.1219066600232,384.688,0.08,250.0,140.012,279.9,274.28
2018-08-01,Ireland,281.4975,16.26,373.9237392373923,328.6725,34.82,299.5404939689834,393.095,45.32,307.811120917917,382.5875,67.13,347.8325636824073,377.1475,0.11,181.8181818181818,137.2375,284.53,280.97
2018-09-01,Ireland,271.44250000000005,12.86,376.3608087091757,320.5225,33.04,302.0581113801453,382.66999999999996,45.28,308.9664310954063,371.975,69.2,353.757225433526,367.9775,0.07,142.8571428571428,137.45499999999998,290.79,285.29
2018-10-01,Ireland,269.78200000000004,16.1,367.7018633540372,318.864,39.49,302.6082552544948,377.826,49.95,305.7057057057057,366.73400000000004,73.67,354.5540925749966,364.376,0.13,230.7692307692308,139.932,292.47,286.76
2018-11-01,Ireland,268.8175,20.93,384.6153846153846,306.1975,39.59,302.0964890123768,378.4375,56.42,302.7295285359801,366.03749999999997,68.16,350.7922535211268,363.3825,0.16,187.5,138.185,293.05,287.68
2018-12-01,Ireland,284.11600000000004,21.38,371.3751169317119,296.064,27.17,301.4354066985645,379.296,44.33,303.857432889691,367.29,41.33,348.6571497701428,357.504,0.15,200.0,138.35399999999998,293.05,287.68
2019-01-01,Ireland,282.2475,29.45,375.2122241086587,294.54999999999995,32.99,318.2782661412549,379.53499999999997,58.26,310.3329900446275,366.8325,49.62,352.0757758968158,350.3025,0.17,235.2941176470588,136.7275,293.58,288.24
2019-02-01,Ireland,286.805,26.69,378.0442113150993,293.2725,29.89,315.4901304784208,379.7225,50.05,311.6883116883117,366.7099999999999,46.05,350.4885993485343,341.67249999999996,7.54,106.1007957559682,137.35,293.37,287.42
2019-03-01,Ireland,294.565,23.04,391.4930555555555,292.72,27.73,312.6577713667508,379.46,50.95,309.7154072620216,365.5725,49.63,348.3779971791255,339.0925,9.09,105.6105610561056,140.125,293.16,287.26
2019-04-01,Ireland,298.85999999999996,24.08,388.704318936877,297.834,26.94,312.5463994060876,380.02799999999996,51.5,311.8446601941747,367.33599999999996,50.63,346.4349200079004,341.832,2.02,113.8613861386139,152.632,293.79,288.5
2019-05-01,Ireland,320.105,23.66,382.0794590025359,322.4375,34.9,317.7650429799427,396.78499999999997,50.4,316.6666666666667,385.2575,47.73,351.3513513513514,369.8225,0.72,125.0,166.7925,289.5,285.36
2019-06-01,Ireland,304.1725,23.44,380.9726962457337,315.865,31.93,323.8333855308487,391.395,44.47,317.0676860805037,377.96500000000003,42.41,356.2838953077105,366.5075,0.16,187.5,173.0575,287.72,283.89
2019-07-01,Ireland,266.534,22.36,382.8264758497317,300.80600000000004,35.71,318.9582749929992,366.30799999999994,49.39,314.2336505365458,354.45,57.34,356.2957795605162,342.58799999999997,0.13,153.8461538461538,173.05,286.67,282.56
2019-08-01,Ireland,259.08500000000004,13.0,378.4615384615385,301.45750000000004,22.66,315.5339805825243,353.6675,42.0,314.2857142857143,344.15250000000003,57.47,359.8399164781625,332.565,0.11,181.8181818181818,171.615,284.41,282.11
2019-09-01,Ireland,261.152,7.21,393.8973647711512,301.62399999999997,14.88,309.1397849462365,354.306,33.3,313.2132132132132,344.81800000000004,41.36,364.3617021276596,327.592,0.09,222.2222222222222,175.19400000000002,281.18,276.06
2019-10-01,Ireland,243.1725,14.35,397.9094076655052,287.2925,30.71,323.3474438293715,354.71500000000003,56.96,317.5912921348315,344.67249999999996,75.7,370.5416116248348,322.265,0.13,230.7692307692308,178.6475,277.24,271.83
2019-11-01,Ireland,249.4625,18.04,391.3525498891353,279.65749999999997,34.62,315.7134604274986,351.0,55.89,310.252281266774,342.5625,67.18,364.9895802322119,320.6375,0.2,200.0,186.885,277.06,270.17
2019-12-01,Ireland,261.77200000000005,20.52,380.6042884990254,286.206,27.06,307.0953436807096,358.658,47.42,310.6284268241249,350.25,48.14,360.1994183631076,325.97200000000004,0.24,208.3333333333333,189.81199999999998,276.47,270.39
2020-01-01,Ireland,271.75,24.78,383.7772397094431,301.41,28.81,316.2096494272822,367.64750000000004,59.2,316.0472972972973,361.515,52.19,358.8810116880629,336.43,0.17,176.4705882352941,190.4975,276.18,269.65
2020-02-01,Ireland,298.86249999999995,20.44,388.9432485322896,313.4625,28.82,314.0180430256766,372.8825,53.35,318.0880974695407,367.16499999999996,51.87,356.0825139772508,343.71,0.18,222.2222222222222,190.7575,275.71,269.65
2020-03-01,Ireland,304.82399999999996,16.44,399.0267639902676,306.26599999999996,30.75,311.5447154471545,369.64200000000005,56.55,319.3633952254642,365.06600000000003,56.33,354.3404935203267,341.098,0.19,210.5263157894737,183.86200000000002,276.59,271.12
2020-04-01,Ireland,286.6225,12.95,400.0,271.6575,18.73,309.6636412172984,347.2925,42.15,320.2846975088968,342.27250000000004,45.6,352.8508771929825,324.7625,0.09,222.2222222222222,178.21499999999997,280.12,275.06
2020-05-01,Ireland,296.64500000000004,13.46,393.0163447251114,294.0575,26.65,320.0750469043152,360.515,42.06,322.6343319067998,356.86,43.22,359.5557612216567,343.54999999999995,0.17,176.4705882352941,169.915,281.59,275.29
2020-06-01,Ireland,275.62600000000003,16.6,387.9518072289156,295.062,38.13,323.1051665355363,365.56399999999996,53.15,322.2953904045156,361.39,57.47,360.187924134331,350.13199999999995,0.15,200.0,162.36599999999999,282.35,276.0
2020-07-01,Ireland,270.035,13.22,402.4205748865355,311.50750000000005,39.51,318.6535054416603,374.5225,50.72,316.8375394321766,371.4275,68.45,356.172388604821,358.4075,0.11,181.8181818181818,162.905,282.35,275.59
2020-08-01,Ireland,262.196,8.5,408.2352941176471,314.804,26.94,319.5991091314031,371.592,46.46,321.35170038743,369.0079999999999,69.34,364.580328814537,351.892,0.11,181.8181818181818,161.386,283.24,275.88
2020-09-01,Ireland,258.35,8.71,405.2812858783008,314.485,30.51,315.3064568993772,364.98500000000007,48.04,319.9417152373023,362.64750000000004,73.34,369.2391600763567,346.68750000000006,0.09,222.2222222222222,159.24,281.76,275.0
2020-10-01,Ireland,261.7275,9.05,403.3149171270718,311.755,34.29,314.0857392825897,364.9325,51.23,317.0017567831349,361.0525,72.96,368.2839912280702,346.04,0.18,166.6666666666667,159.26,282.82,276.25
2020-11-01,Ireland,268.042,14.09,388.2185947480482,298.404,35.84,309.9888392857143,369.554,56.32,309.3039772727273,363.83000000000004,60.57,360.7396400858511,348.20000000000005,0.17,176.4705882352941,157.426,285.63,279.47
2020-12-01,Ireland,281.7125,15.62,383.48271446863,316.84749999999997,31.72,308.6380832282472,380.5,51.19,310.4121898808361,374.755,46.84,355.8923996584116,356.4025,0.23,217.3913043478261,156.045,289.63,284.4
2021-01-01,Ireland,284.2425,15.67,376.5156349712827,321.9625,25.82,312.5484120836561,385.15000000000003,49.24,312.9569455727051,380.0225,43.58,351.0784763653052,360.6225,0.2,150.0,153.88250000000002,294.0,288.73
2021-02-01,Ireland,294.49,14.85,383.1649831649831,318.7325,25.36,309.9369085173502,381.8,43.79,314.455355103905,377.51750000000004,43.8,349.5433789954338,357.58500000000004,1.27,110.2362204724409,151.5475,297.44,293.4
2021-03-01,Ireland,323.614,14.19,394.6441155743481,327.608,28.02,309.4218415417559,385.962,51.03,315.108759553204,381.416,56.75,351.8942731277533,363.974,3.68,100.5434782608696,155.27,301.0,294.87
2021-04-01,Ireland,326.84000000000003,11.95,403.3472803347281,347.3325,27.51,309.3420574336604,403.7375,45.44,318.6619718309859,400.16499999999996,49.16,353.1326281529699,383.585,0.74,121.6216216216216,162.605,305.38,299.2
2021-05-01,Ireland,325.51000000000005,15.61,393.9782190903267,353.796,32.27,312.9841958475364,416.34399999999994,42.6,321.3615023474179,412.754,45.23,359.4959097943843,397.10999999999996,0.41,121.9512195121951,165.772,310.75,304.73
2021-06-01,Ireland,319.1475,15.52,384.6649484536082,360.4525,32.65,314.854517611026,422.1825,42.83,315.9000700443614,419.5775,48.02,353.1861724281549,407.1125,0.13,230.7692307692308,167.23,313.44,308.13
2021-07-01,Ireland,303.595,12.0,394.1666666666667,370.95750000000004,34.23,316.0969909436167,430.57500000000005,45.37,315.847476305929,426.2475,62.19,356.3273838237659,413.59000000000003,0.1,200.0,160.77749999999997,317.38,310.47
2021-08-01,Ireland,297.782,9.23,396.5330444203684,369.558,28.46,314.1250878425861,422.596,44.45,317.660292463442,419.48999999999995,73.53,361.6211070311438,402.58000000000004,0.07,142.8571428571428,155.754,317.75,310.73
2021-09-01,Ireland,297.31,9.32,390.5579399141631,373.355,27.3,309.1575091575091,421.41499999999996,49.32,315.0851581508516,417.1575,77.11,363.6363636363636,401.0025,0.06,166.6666666666667,151.5025,324.56,320.4
2021-10-01,Ireland,294.2975,9.12,391.4473684210527,373.32,30.23,308.6338074760171,421.06250000000006,49.37,310.9175612720276,416.285,69.83,360.7332092223972,400.155,0.16,187.5,147.77,329.13,325.73
2021-11-01,Ireland,312.572,14.58,377.9149519890261,366.93,39.37,304.0386080772162,422.934,55.18,304.4581370061617,417.304,61.99,352.1535731569608,401.71000000000004,0.17,235.2941176470588,143.442,333.38,330.1
2021-12-01,Ireland,321.9675,15.52,371.1340206185567,378.21250000000003,33.75,297.7777777777778,431.585,45.77,305.0032772558444,427.835,45.87,343.5796817091782,407.875,0.19,210.5263157894737,143.55,345.13,339.3
